scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
both_inflows_zero,2091,779816.0083677737,774118.5037880018,5697.504579771874,295431.9349306566,484384.07343711716,27968.895000977907,203006.98228110277,548840.131085693,0.007306216490345296,0.7038072124660093
both_inflows_zero,2092,728382.2382976668,723586.6618639969,4795.576433669909,276041.9815438725,452340.2567537944,26477.930120871228,189609.69434534747,512294.61383144825,0.006583873386146614,0.7033321062698534
both_inflows_zero,2093,680591.5951776608,676591.205519506,4000.389658154835,258143.15604015786,422448.4391375029,25079.72364252095,177104.96729979353,478406.90423534636,0.0058778123128461176,0.7029280226572054
both_inflows_zero,2094,636168.20120521,632855.4339760706,3312.767229139285,241628.08389260882,394540.117312601,23761.266180435687,165455.38089747867,446951.5541272955,0.005207376324159716,0.7025682096032988
both_inflows_zero,2095,594980.5333715725,592257.5431595861,2722.990211986478,226412.29927373474,368568.2340978379,22512.136213339636,154622.08850086204,417846.3086573709,0.004576603870644517,0.7022856803222852
both_inflows_zero,2096,556882.0668053747,554660.5240048969,2221.5428004779133,212406.26692364865,344475.7998817261,21324.088765472265,144566.0507643335,390991.927275569,0.003989251823500222,0.7021090291496443
both_inflows_zero,2097,521711.2369290399,519912.08539581567,1799.1515332242197,199516.618963564,322194.61796547595,20190.70163372565,135247.93744966073,366272.5978456535,0.0034485581407343348,0.7020600131246009
both_inflows_zero,2098,489271.3867855116,487826.5344983065,1444.852287205089,187645.0733970881,301626.31338842347,19107.061665985493,126684.94810255508,343479.377016971,0.002953069249967172,0.7020222034106944
both_inflows_zero,2099,459431.40895466367,458276.02505776146,1155.3838969021829,176702.2118818602,282729.1970728035,18068.594347263304,118810.39399612478,322552.4206112756,0.0025148126018005776,0.7020687186911612
both_inflows_zero,2100,431974.04705668974,431053.17434331554,920.8727133742505,166590.6307714189,265383.4162852708,17072.110881279757,111562.84617095494,303339.090004455,0.002131777868713952,0.7022160059644661
domestic_inflow_zero,2026,14270748.000000004,13476291.728174618,794456.2718253855,7004359.336209876,7266388.663790125,1524869.5356300592,9543487.810819099,3202390.6535508446,0.05567026142045149,0.2244024387194591
domestic_inflow_zero,2027,13920497.40566874,13098217.88232553,822279.5233432122,6814800.73180268,7105696.673866061,1479255.572467711,9210245.191693813,3230996.6415072167,0.05906969409069833,0.23210353390041094
domestic_inflow_zero,2028,13584874.963297846,12736472.120709807,848402.8425880396,6633773.135539634,6951101.827758213,1430076.7364796705,8899620.627119642,3255177.599698534,0.06245201703218934,0.2396177814292014
domestic_inflow_zero,2029,13262294.928898387,12389230.90804153,873064.0208568594,6460355.109769071,6801939.819129314,1377656.8641093061,8609473.879072217,3275164.1857168637,0.06583053879720795,0.24695305022815614
domestic_inflow_zero,2030,12951427.635609392,12054988.915445026,896438.7201643663,6293745.173309491,6657682.462299901,1322300.130715144,8337875.619761223,3291251.885133026,0.06921543673684642,0.25412270969139117
domestic_inflow_zero,2031,12651036.627222747,11732383.806985352,918652.8202373969,6133214.457548086,6517822.169674661,1264285.7900989817,8083058.530970955,3303692.3061528113,0.07261482574958497,0.261140047531272
domestic_inflow_zero,2032,12360026.032731358,11420224.814519748,939801.2182116082,5978126.208125533,6381899.824605824,1211275.369325611,7804554.469984927,3344196.1934208176,0.07603553711965184,0.2705654651992514
domestic_inflow_zero,2033,12076492.400864933,11116484.929085076,960007.4717798578,5827464.833226901,6249027.56763803,1156154.4808246691,7540071.307673764,3380266.612366499,0.07949389938017937,0.2799046693495539
domestic_inflow_zero,2034,11800191.040226916,10820847.103185507,979343.9370414114,5680901.805815435,6119289.234411484,1099338.7919840168,7288265.147059611,3412587.1011832897,0.08299390524295942,0.2891976146445224
